AQI index,Station name,Dominent pollutant,CO,Dew,Humidity,NO2,Pressure,PM10,PM2.5,Temperature,Wind,Data Time S,Latitude,Longitude,Status
102.0,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",pm25,5.0,22.9,83.0,10.0,1009.0,42.0,102.0,27.0,3.6,2021-01-21 19:00:00,10.782978,106.700711,Unhealthy for sensitive groups
281.0,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",pm25,0.3,22.9,77.0,8.7,1015.0,42.0,281.0,18.0,1.5,2021-01-21 20:00:00,21.0215063,105.8188748,Very unhealthy
36.0,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",pm25,3.0,22.9,60.2,6.0,923.7,29.0,36.0,24.3,1.0,2021-01-21 20:00:00,13.998599,107.996482,Good
68.0,"Thừa Thiên Huế/83 Hùng Vương, Vietnam",pm25,2.0,22.9,88.0,10.0,1015.0,52.0,68.0,21.0,1.0,2021-01-21 19:00:00,16.46226,107.596351,Moderate
217.0,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",pm25,12.0,22.9,77.0,65.0,1015.0,194.0,217.0,18.0,1.5,2021-01-21 19:00:00,21.04975,105.74187,Very unhealthy
195.0,"Bắc Ninh/Châu Khê, Vietnam",pm25,8.0,22.9,77.0,17.0,1015.0,119.0,195.0,18.0,1.5,2021-01-21 20:00:00,21.1137452,105.9268934,Unhealthy
168.0,"Lào Cai/KCN TALOONG1, Vietnam",pm25,37.0,22.9,70.3,2.0,1003.2,65.0,168.0,18.5,1.0,2021-01-21 20:00:00,22.3221386,104.1214227,Unhealthy
48.0,"Ha Long, Vietnam (Tp Hạ Long)",pm25,5.0,22.9,95.7,11.0,1001.0,25.0,48.0,17.0,2.0,2021-01-21 19:00:00,20.9416,107.1158,Good
18.0,"Quảng Ninh/UBND TP Uông Bí, Vietnam",pm25,5.0,22.9,97.5,5.0,1002.0,12.0,18.0,15.4,1.0,2021-01-21 05:00:00,21.0357507,106.7641068,Good
251.0,"Bắc Ninh/Phong Cốc, Vietnam",pm25,7.0,22.9,77.0,52.0,1015.0,155.0,251.0,18.0,1.5,2021-01-21 20:00:00,21.1232473,106.2883295,Very unhealthy
315.0,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",pm25,7.0,22.9,77.0,48.0,1015.0,205.0,315.0,18.0,1.5,2021-01-21 20:00:00,21.0272212,106.0342099,Hazardous
224.0,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",pm25,61.0,22.9,79.5,80.0,1015.5,185.0,224.0,18.0,1.2,2021-01-21 19:00:00,21.03982,105.84726,Very unhealthy
177.0,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",pm25,20.0,22.9,79.5,42.0,1015.5,112.0,177.0,18.0,1.2,2021-01-21 19:00:00,20.98832,105.854897,Unhealthy
179.0,"Hà Nội/UBND P. Mỹ Đình I, Vietnam",pm25,14.0,22.9,79.5,47.0,1015.5,122.0,179.0,18.0,1.2,2021-01-21 19:00:00,21.01994,105.77056,Unhealthy
214.0,"Hà Nội/Chi cục BVMT, Vietnam",pm25,19.0,22.9,77.0,36.0,1015.0,149.0,214.0,18.0,1.2,2021-01-21 19:00:00,21.01525,105.80013,Very unhealthy
213.0,"Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",pm25,31.0,22.9,79.5,34.0,1015.5,175.0,213.0,18.0,1.2,2021-01-21 19:00:00,21.02022,105.81232,Very unhealthy
166.0,"Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",pm25,13.0,22.9,79.5,33.0,1015.5,105.0,166.0,18.0,1.2,2021-01-21 19:00:00,21.00577,105.74842,Unhealthy
221.0,"Hà Nội/36A Phạm Văn Đồng, Vietnam",pm25,38.0,22.9,79.5,31.0,1015.5,177.0,221.0,18.0,1.2,2021-01-21 19:00:00,21.05121,105.78232,Very unhealthy
191.0,"Hà Nội/Mầm non Kim Liên, Vietnam",pm25,17.0,22.9,82.0,10.0,1016.0,130.0,191.0,18.0,1.0,2021-01-21 20:00:00,21.0072,105.83572,Unhealthy
213.0,"Cao Bằng/Trạm khí TTQT, Vietnam",pm25,5.0,22.9,77.8,10.0,986.3,204.0,213.0,17.2,2.0,2021-01-21 21:00:00,22.6782,106.245,Very unhealthy
122.0,"Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",pm25,5.0,22.9,56.5,10.0,1008.5,42.0,122.0,30.5,2.5,2021-01-22 13:00:00,10.782978,106.700711,Unhealthy for sensitive groups
189.0,"Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",pm25,0.1,22.9,51.0,8.7,1014.5,42.0,189.0,22.5,2.3,2021-01-22 13:00:00,21.0215063,105.8188748,Unhealthy
18.0,"Gia Lai/phường Thống Nhất - Pleiku, Vietnam",pm10,4.0,22.9,64.3,13.0,926.2,18.0,17.0,23.0,2.0,2021-01-22 13:00:00,13.998599,107.996482,Good
189.0,"Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",pm25,12.0,22.9,58.0,42.0,1016.0,156.0,189.0,22.0,2.0,2021-01-22 12:00:00,21.04975,105.74187,Unhealthy
164.0,"Bắc Ninh/Châu Khê, Vietnam",pm25,5.0,22.9,53.0,14.0,1015.0,88.0,164.0,22.0,2.0,2021-01-22 13:00:00,21.1137452,105.9268934,Unhealthy
131.0,"Lào Cai/KCN TALOONG1, Vietnam",pm25,38.0,22.9,93.2,3.0,1007.1,24.0,131.0,16.7,1.0,2021-01-22 13:00:00,22.3221386,104.1214227,Unhealthy for sensitive groups
49.0,"Ha Long, Vietnam (Tp Hạ Long)",pm25,5.0,22.9,86.2,14.0,1001.3,26.0,49.0,21.3,1.0,2021-01-22 13:00:00,20.9416,107.1158,Good
38.0,"Quảng Ninh/UBND TP Uông Bí, Vietnam",pm25,6.0,22.9,86.2,14.0,1001.3,24.0,38.0,21.3,1.0,2021-01-22 12:00:00,21.0357507,106.7641068,Good
235.0,"Bắc Ninh/Phong Cốc, Vietnam",pm25,5.0,22.9,53.0,25.0,1015.0,138.0,235.0,22.0,2.0,2021-01-22 13:00:00,21.1232473,106.2883295,Very unhealthy
252.0,"Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",pm25,2.0,22.9,53.0,15.0,1015.0,157.0,252.0,22.0,2.0,2021-01-22 13:00:00,21.0272212,106.0342099,Very unhealthy
191.0,"Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",pm25,48.0,22.9,58.0,47.0,1016.0,157.0,191.0,22.0,2.0,2021-01-22 12:00:00,21.03982,105.84726,Unhealthy
161.0,"Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",pm25,9.0,22.9,53.0,31.0,1015.0,90.0,161.0,22.0,2.0,2021-01-22 12:00:00,20.98832,105.854897,Unhealthy
